537;134;LAS ARMAS
538;12;LAS BARRANCAS
539;41;LAS CHACRAS
540;106;LAS FLORES
541;133;LAS HERMANAS
542;124;LAS MALVINAS
543;39;LAS MARIANAS
544;114;LAS NUTRIAS
545;53;LAS PALMAS
546;20;LAS PARVAS
547;46;LAS TOSCAS
548;63;LAS VAQUERIAS
549;111;LASALLE, PEDRO P.
550;122;LASTRA
551;40;LAVALLE, ENRIQUE
552;65;LAVALLOL
553;1;LAZZARINO
554;6;LERTORA
555;43;LEUBUCO
556;47;LEVALLE, NICOLAS
557;122;LIBANO
558;19;LIBERTAD
559;15;LIBRES DEL SUD
560;114;LICENCIADO MATIENZO
561;53;LIMA
562;63;LIN CALEL
563;46;LINCOLN
564;7;LLORENTE, GALO
565;114;LOBERIA
566;41;LOBOS
567;77;LOMA NEGRA
568;18;LOMA PARAGUAYA ,EST.
569;25;LOMA VERDE
570;65;LOMAS DE ZAMORA
571;28;LONGCHAMPS
572;109;LOPEZ
573;4;LOPEZ CAMELO ,PDA.
574;2;LOPEZ LECUBE
575;48;LOPEZ, VICENTE
576;94;LOS ANGELES
577;43;LOS GAUCHOS ,PDA.
578;87;LOS INDIOS
579;62;LOS PINOS
580;33;LOS POLVORINES
581;40;LOUGE
582;91;LOURDES
583;22;LUJAN
584;110;LUMB
585;40;LURO
586;47;LURO, PEDRO
587;121;MACEDO
588;52;MACHITA
589;11;MADERO, FRANCISCO
590;11;MAGDALA
591;36;MAGDALENA
592;6;MAGNANO, FRANCISCO
593;13;MAGUIRRE
594;134;MAIPU
595;108;MALAVER ,PDA.
596;5;MAMAGUITA
597;77;MAPIS
598;33;MAQUINISTA SAVIO
599;123;MAR DE AJO
600;84;MAR DEL PLATA
601;123;MAR DEL TUYU
602;6;MARI LAUQUEN
603;57;MARIA IGNACIA ,EST.VEIA
604;105;MARIA LUCILA
605;28;MARMOL, JOSE
606;1;MARTIN FIERRO
607;12;MARTINEZ
608;101;MARUCHA
609;40;MASUREL ,EST.
610;70;MATHEU
611;47;MAYOR BURATOVICH
612;43;MAZA
613;103;MECHONGUE
614;47;MEDANOS
615;94;MEMBRILLAR
616;17;MERCEDES
617;19;MERLO
618;92;MERLO GOMEZ ,AP.
619;116;MICHEO, JOSE M.
620;108;MIGUELETE ,PDA.
621;28;MINISTRO RIVADAVIA
622;58;MIRA PAMPA
623;103;MIRAMAR
624;1;MIRAMONTE
625;96;MIRANDA
626;48;MITRE, BARTOLOME ,EST.
627;71;MOCTEZUMA
628;63;MOLINA, CLAUDIO
629;15;MONASTERIO
630;11;MONES CAZON
631;51;MONROE
632;134;MONSALVO
633;8;MONTE CHINGOLO
634;135;MONTE GRANDE
635;42;MONTE HERMOSO
636;36;MONTE VELOZ
637;47;MONTES DE OCA
638;64;MOORES
639;72;MOQUEHUA
640;132;MORENO, MARIANO ,EST.MORENO
641;92;MORON
642;92;MORRIS, WILIAM C.,PDA.
643;20;MORSE
644;5;MOSCONI
645;40;MOURAS ,EST.
646;33;MUÑIZ
647;77;MUÑOZ
648;48;MUNRO
649;43;MURATURE, FRANCISCO
650;83;NAHUEL RUCA
651;7;NAON, CARLOS M.
652;62;NAPALEOFU
653;18;NAPOSTA
654;39;NAVARRO
655;99;NECOCHEA
656;101;NECOL
657;7;NEILD, RAMON J.
658;97;NEWTON
659;1;NIEVES
660;7;NORUMBEGA
661;11;NUEVA PLATA
662;98;NUEVA ROMA
663;38;NUEVA SUIZA ,EST.
664;102;OBLIGADO
665;87;OBLIGADO, RAFAEL
666;13;OCAMPO, MANUEL
667;110;OCHANDIO
668;20;O'HIGGINS
669;52;OLASCOAGA
670;77;OLAVARRIA
671;32;OLIDEN
672;99;OLIVERA, NICANOR ,EST.LA DULCE
673;48;OLIVOS
674;9;OLMOS, LISANDRO ,AP.
675;69;OMBU
676;47;OMBUCTA
677;71;ORDOQUI
678;63;ORENSE
679;42;ORIENTE
680;9;ORMA, ADOLFO F. ,AP.
681;13;ORTIZ BASUALDO
682;5;ORTIZ DE ROSAS
683;121;OSTENDE
684;69;OTOÑO ,EST.
685;48;PADILLA, MIGUEL MANUEL ,EST.
686;133;PARAGUIL
687;106;PARDO
688;1;PARISH
689;112;PARRAVICINI
690;65;PASCO ,AP.
691;69;PASMAN
692;132;PASO DEL REY
693;127;PASO MAYOR
694;11;PASO, JUAN JOSE
695;46;PASTEUR
696;59;PATAGONES, CARMEN DE
697;7;PATRICIOS
698;36;PAYRO, ROBERTO
699;33;PAZ, JOSE C.
700;100;PAZ, MARCOS
701;27;PAZ, MAXIMO
702;38;PAZOS KANKI
703;44;PEARSON
704;5;PEDERNALES
705;11;PEHUAJO
706;78;PEHUELCHES
707;127;PEHUEN-CO
708;98;PELICURA
709;78;PELLEGRINI
710;69;PERALTA
711;1;PEREDA, VICENTE
712;115;PEREZ MILLAN
713;131;PEREZ, ROQUE
714;13;PERGAMINO
715;15;PESSAGNO, ATILIO
716;27;PETION, ALEJANDRO ,PDA.
717;64;PICHINCHA
718;2;PIEDRA ECHADA
719;64;PIEDRITAS
720;114;PIERES
721;31;PIGUE
722;90;PILA
723;136;PILAR
724;107;PILLAHUINCO
725;121;PINAMAR
726;33;PIÑERO
727;69;PIÑEYRO
728;36;PIPINAS
729;128;PIROVANO
730;14;PLA
731;73;PLATANOS
732;106;PLAZA MONTERO
733;9;POBLET
734;35;POLVAREDAS
735;122;PONTAUT
736;19;PONTEVEDRA
737;30;PORTELA, IRINEO
738;38;PORVENIR
739;77;POURTALE
740;59;PRADERE, JUAN A.
741;14;PRESIDENTE QUINTANA
742;6;PRIMERA JUNTA
743;2;PUAN
744;5;PUEBLITOS
745;132;PUENTE CASCALLARES
746;127;PUERTO BELGRANO
747;18;PUERTO CUATREROS
748;18;PUERTO GALVAN
749;127;PUERTO ROSALES
750;137;PUNTA ALTA ,EST.ALMIRANTE SOLIER
751;129;PUNTA CHICA
752;36;PUNTA INDIO
753;117;PUNTA LARA
754;81;QUENUMA
755;114;QUEQUEN
756;3;QUERANDI ,EST.
757;77;QUERANDIES ,EMP.
758;122;QUILCO
759;74;QUILMES
760;69;QUIÑIHUAL
761;95;QUIRNO COSTA
762;7;QUIROGA
763;115;RAMALLO
764;3;RAMOS MEJIA
765;62;RAMOS OTERO
766;13;RANCAGUA
767;25;RANCHOS
768;73;RANELAGH
769;96;RAUCH
770;122;RAULET
771;94;RAWSON
772;90;REAL AUDIENCIA
773;77;RECALDE
774;107;RESERVA
775;63;RETA
776;9;RINGUELET
777;85;RIO LUJAN ,EST.
778;10;RIO SALADO ,AP.
779;102;RIO TALA
780;58;RIVADAVIA ,EST.AMERICA
781;2;RIVADEO
782;138;RIVAS
783;43;RIVERA
784;46;ROBERTS
785;20;ROCA, AGUSTIN
786;77;ROCHA
787;87;ROJAS
788;109;ROLDAN, MARIANO
789;21;ROLITO
790;100;ROMERO, ELIAS ,EST.
791;9;ROMERO, MELCHOR
792;58;ROOSEVELT
793;106;ROSAS
794;92;RUBEN DARIO ,EST.
795;56;RUIZ
796;31;SAAVEDRA
797;91;SAENZ PEÑA
798;35;SALADILLO
799;46;SALAS, CARLOS
800;40;SALAZAR
801;98;SALDUNGARAY
802;59;SALINERA ,DV.
803;81;SALLIQUELO
804;51;SALTO
805;41;SALVADOR MARIA
806;62;SAN AGUSTIN
807;108;SAN ANDRES
808;56;SAN ANDRES DE GILES ,EST.GILES
809;139;SAN ANTONIO DE ARECO
810;19;SAN ANTONIO DE PADUA
811;123;SAN BERNARDO
812;34;SAN BERNARDO
813;128;SAN CARLOS DE BOLIVAR ,EST.BOLIVAR
814;110;SAN CAYETANO
815;123;SAN CLEMENTE DEL TUYU
816;22;SAN ELADIO
817;95;SAN EMILIO
818;5;SAN ENRIQUE
819;21;SAN FERMIN
820;129;SAN FERNANDO
821;63;SAN FRANCISCO DE BELLOCQ
822;74;SAN FRANCISCO SOLANO ,PDA.KILOMETRO 26
823;2;SAN GERMAN
824;55;SAN IGNACIO
825;12;SAN ISIDRO
826;133;SAN JORGE
827;99;SAN JOSE
828;69;SAN JOSE
829;3;SAN JUSTO
830;114;SAN MANUEL
831;58;SAN MAURICIO
832;63;SAN MAYOL
833;33;SAN MIGUEL
834;33;SAN MIGUEL ,EST.GENERAL SARMIENTO
835;92;SAN MIGUEL DEL MONTE ,EST.MONTE
836;104;SAN NICOLAS DE LOS ARROYOS,EST.S.NICOLAS
837;94;SAN PATRICIO
838;102;SAN PEDRO
839;42;SAN ROMAN
840;26;SAN VICENTE
841;127;SANDRINI ,DV.
842;58;SANSINENA
843;65;SANTA CATALINA
844;30;SANTA COLOMA
845;133;SANTA ELENA
846;64;SANTA ELEODORA
847;101;SANTA INES
848;77;SANTA LUCIA
849;102;SANTA LUCIA
850;69;SANTA MARIA
851;64;SANTA REGINA
852;64;SANTA REGINA
853;123;SANTA TERESITA
854;99;SANTAMARINA, RAMON
855;134;SANTO DOMINGO
856;41;SANTOS AREVALO, JOSE
857;91;SANTOS LUGARES
858;7;SANTOS UNZUE
859;54;SARANDI
860;44;SARASA
861;21;SATURNO
862;9;SEGUI, ARTURO
863;134;SEGUROLA
864;112;SEVIGNE
865;1;SHAW
866;77;SIERRA CHICA
867;98;SIERRA DE LA VENTANA
868;77;SIERRAS BAYAS
869;71;SMITH
870;2;SOLA, FELIPE
871;55;SOLANET
872;11;SOSA, INOCENCIO
873;33;SOURDEAUX, ADOLFO ,PDA.
874;140;SOURIGUES, CARLOS ,AP.
875;87;SPANO, GUIDO
876;16;SPEGAZZINI, CARLOS
877;18;SPURR ,EST.
878;107;STEGMANN
879;59;STROEDER
880;108;SUAREZ, JOSE LEON
881;16;SUAREZ, TRISTAN
882;138;SUIPACHA
883;58;SUNDBLAD
884;3;TABLADA
885;51;TACUARI
886;114;TAMANGUEYU
887;57;TANDIL
888;34;TAPALQUE
889;3;TAPIALES
890;89;TATAY
891;101;TEJEDOR, CARLOS ,EST.TEJEDOR
892;65;TEMPERLEY
893;77;TENIENTE CORONEL MIÑANA
894;47;TENIENTE ORIGONE
895;43;THAMES
896;4;TIGRE
897;101;TIMOTE
898;101;TIMOTE ,EST.
899;49;TODD
900;9;TOLOSA
901;98;TORNQUIST
902;33;TORTUGUITAS
903;6;TRENQUE LAUQUEN
904;101;TRES ALGARROBOS ,EST.CUENCA
905;63;TRES ARROYOS
906;43;TRES LAGUNAS
907;78;TRES LOMAS
908;98;TRES PICOS
909;46;TRIUNVIRATO
910;131;TRONCONI, JUAN
911;6;TRONGE
912;65;TURDERA
913;56;TUYUTI
914;34;UBALLES, EUFEMIO
915;55;UDAQUIOLA
916;16;UNION FERROVIARIA ,PDA.
917;128;UNZUE, MARIANO
918;128;URDAMPILLETA
919;109;URIBURU, TEDIN
920;5;VALDES
921;128;VALLIMANCA
922;80;VARELA, FLORENCIO
923;111;VASQUEZ
924;141;VATTEONE, ARTURO ,EST.
925;142;VEDIA
926;34;VELLOSO
927;36;VERGARA
928;36;VERONICA
929;4;VICEALMIRANTE E.MONTES
930;129;VICTORIA
931;10;VIDELA DORNA, ZENON
932;36;VIEYTES
933;106;VILELA
934;12;VILLA ADELINA
935;13;VILLA ANGELICA ,EST,EL SOCORRO
936;143;VILLA BALLESTER
937;54;VILLA BARILARI
938;91;VILLA BOSCH ,PDA.JUAN MARIA BOSCH
939;8;VILLA CARAZA
940;2;VILLA CASTELAR ,EST.ERIZE
941;54;VILLA CRISTOBAL COLON
942;33;VILLA DE MAYO
943;8;VILLA DIAMANTE
944;54;VILLA DOMINICO
945;109;VILLA EL CACIQUE
946;9;VILLA ELISA
947;73;VILLA ESPAÑA
948;9;VILLA GARIBALDI
949;127;VILLA GENERAL ARIAS ,EST.KILOMETRO 638
950;115;VILLA GENERAL SAVIO EST.SANCHEZ
951;121;VILLA GESEL
952;73;VILLA GIAMBRUNO
953;18;VILLA HARDING GREEN
954;2;VILLA IRIS
955;3;VILLA LUZURIAGA
956;128;VILLA LYCH PUEYRREDON
957;143;VILLA LYNCH ,EST.CNL.FRANCISCO LYNCH
